date,symbol,action,entry,sl,target,risk_reward,setup_time,rolv
2026-06-15,ABB.NS,SELL,6817.5,6844.19,6764.12,1:2,12:00-12:15,2.22
2026-06-15,ALKEM.NS,SELL,5302.5,5322.94,5261.62,1:2,10:15-10:30,2.08
2026-06-15,BAJAJ-AUTO.NS,SELL,10196.0,10228.42,10131.15,1:2,10:00-10:15,2.74
2026-06-15,BOSCHLTD.NS,BUY,37910.0,37743.39,38243.23,1:2,11:00-11:15,1.49
2026-06-15,DIXON.NS,BUY,11665.0,11616.88,11761.24,1:2,10:15-10:30,1.34
2026-06-15,EICHERMOT.NS,BUY,7251.0,7227.94,7297.12,1:2,12:15-12:30,1.32
2026-06-15,HEROMOTOCO.NS,BUY,4965.7,4949.31,4998.47,1:2,09:45-10:00,2.23
2026-06-15,INDIGO.NS,BUY,4661.8,4644.46,4696.48,1:2,10:30-10:45,2.62
2026-06-15,LT.NS,BUY,3938.3,3928.43,3958.03,1:2,10:30-10:45,1.62
2026-06-15,MARUTI.NS,BUY,13150.0,13110.94,13228.11,1:2,11:15-11:30,1.6
2026-06-15,MCX.NS,SELL,2789.7,2805.64,2757.81,1:2,10:15-10:30,1.31
2026-06-15,MUTHOOTFIN.NS,BUY,2900.2,2888.76,2923.08,1:2,09:45-10:00,1.74
2026-06-15,SHREECEM.NS,BUY,23645.0,23575.84,23783.32,1:2,10:45-11:00,9.71
2026-06-15,SRF.NS,BUY,2746.0,2737.43,2763.14,1:2,11:30-11:45,1.34
2026-06-15,TRENT.NS,BUY,2805.0,2793.6,2827.8,1:2,09:45-10:00,2.27
2026-06-15,ULTRACEMCO.NS,BUY,10915.0,10884.55,10975.91,1:2,12:00-12:15,1.39
